employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,ann_salary
54562,Analytics,9,Master's & above,m,sourcing,1,29,5,1,0,83,139674
32995,Analytics,9,Master's & above,m,sourcing,1,32,5,5,0,83,107883
10297,Analytics,9,Master's & above,m,other,1,28,3,7,0,84,87500
62261,Analytics,9,Master's & above,m,other,2,29,3,5,0,85,133840
15677,Analytics,9,Master's & above,m,sourcing,2,27,2,1,0,86,142592
18259,Analytics,9,Master's & above,m,sourcing,1,29,3,4,0,86,141805
77785,Analytics,9,Master's & above,m,other,3,31,5,4,0,86,65389
27043,Analytics,9,Master's & above,m,other,1,32,3,7,1,86,79783
71427,Analytics,9,Master's & above,m,sourcing,1,33,3,7,0,87,51995
49675,Analytics,9,Master's & above,m,sourcing,1,29,4,1,0,88,114180
39673,Sales & Marketing,9,Master's & above,m,other,3,32,3,3,1,92,92683
54743,Sales & Marketing,9,Master's & above,m,other,1,28,1,2,0,43,100329
38837,Sales & Marketing,9,Master's & above,m,other,1,35,3,10,0,45,107928
26892,Sales & Marketing,9,Master's & above,m,sourcing,1,26,4,3,0,47,143303
6646,Sales & Marketing,9,Master's & above,m,sourcing,1,33,3,5,0,47,61935
70545,Sales & Marketing,9,Master's & above,m,other,1,30,5,2,0,48,138435
24622,Sales & Marketing,9,Master's & above,m,sourcing,1,39,1,3,0,48,103819
54159,Sales & Marketing,9,Master's & above,m,sourcing,1,29,3,4,0,48,91150
55262,Sales & Marketing,9,Master's & above,m,sourcing,1,30,2,4,0,49,108299
67807,Sales & Marketing,9,Master's & above,m,sourcing,1,27,3,1,0,50,57331
20441,Sales & Marketing,9,Master's & above,m,other,1,30,3,2,0,50,124591
66433,Sales & Marketing,9,Master's & above,m,other,1,29,4,2,0,51,134970
30463,Sales & Marketing,9,Master's & above,m,other,1,28,5,2,0,51,99668
26857,Sales & Marketing,9,Master's & above,m,other,1,32,3,7,0,51,111600
35065,Sales & Marketing,9,Master's & above,m,other,1,30,1,4,0,52,97949
31679,Sales & Marketing,9,Master's & above,m,sourcing,2,29,1,6,0,52,58257
73513,Sales & Marketing,9,Master's & above,m,other,1,39,1,7,0,53,81259
44489,Sales & Marketing,9,Master's & above,m,other,1,23,3,1,0,56,55843
5574,Sales & Marketing,8,Master's & above,m,other,1,35,3,8,0,45,147390
72320,Sales & Marketing,8,Master's & above,m,sourcing,1,35,4,2,0,46,98953
16875,Sales & Marketing,8,Master's & above,m,sourcing,1,31,3,4,0,47,141456
1932,Sales & Marketing,8,Master's & above,m,other,1,41,2,13,0,47,57470
34045,Sales & Marketing,8,Master's & above,m,other,1,30,4,2,0,48,110318
54350,Sales & Marketing,8,Master's & above,m,sourcing,2,31,3,4,0,48,87225
17451,Sales & Marketing,8,Master's & above,m,sourcing,1,30,1,5,0,48,137512
61990,Sales & Marketing,8,Master's & above,m,other,1,40,3,6,0,48,104738
8868,Sales & Marketing,8,Master's & above,m,sourcing,1,33,1,9,0,48,80521
4096,Sales & Marketing,8,Master's & above,m,sourcing,1,34,5,7,1,48,79119
27793,Sales & Marketing,8,Master's & above,m,other,1,42,1,3,0,49,121478
4486,Sales & Marketing,8,Master's & above,m,sourcing,1,34,3,6,0,50,54804
59820,Sales & Marketing,8,Master's & above,m,sourcing,1,33,4,5,0,51,104294
52860,Sales & Marketing,8,Master's & above,m,other,1,36,1,7,0,51,52582
75383,Sales & Marketing,8,Master's & above,m,sourcing,1,35,2,8,0,51,88829
74742,Sales & Marketing,8,Master's & above,m,other,1,31,3,5,0,52,94175
63,Sales & Marketing,8,Master's & above,m,sourcing,1,35,5,8,0,52,93326
36834,Sales & Marketing,8,Master's & above,m,other,1,30,3,2,0,55,126705
11805,Operations,8,Master's & above,f,sourcing,1,36,5,4,0,55,58716
59733,Operations,8,Master's & above,f,sourcing,1,40,5,3,0,56,87518
50561,Sales & Marketing,8,Master's & above,m,sourcing,1,33,5,6,0,56,131680
22479,Operations,8,Master's & above,f,other,1,36,3,3,0,57,87578
24693,Finance,8,Master's & above,m,other,1,33,4,3,0,57,368706
41338,Finance,8,Master's & above,m,other,1,33,5,6,0,57,173908
47070,Operations,8,Master's & above,m,sourcing,1,34,5,6,0,58,139096
22366,Operations,8,Master's & above,m,other,1,45,3,15,0,58,122989
29733,Operations,8,Master's & above,m,other,1,36,5,5,0,59,140587
43668,Operations,8,Master's & above,m,sourcing,1,42,3,7,0,59,141501
10997,Operations,8,Master's & above,m,sourcing,1,32,3,8,0,59,58611
67228,Operations,8,Master's & above,m,sourcing,1,39,3,3,0,60,125690
73446,Operations,8,Master's & above,m,other,1,30,3,6,0,60,103206
45212,Operations,8,Master's & above,f,other,1,39,3,2,0,61,97205
23642,Operations,8,Master's & above,m,other,1,37,1,5,0,61,63238
40026,Operations,8,Master's & above,f,sourcing,1,37,3,10,0,61,56536
47319,Operations,8,Master's & above,f,sourcing,1,42,3,6,0,62,91753
74239,Operations,8,Master's & above,m,sourcing,1,48,5,6,0,62,88892
19802,Operations,8,Master's & above,m,sourcing,1,34,1,9,0,62,111990
77651,Operations,8,Master's & above,m,sourcing,2,32,5,3,0,63,82066
26439,Operations,8,Master's & above,f,sourcing,1,33,5,4,0,63,52045
58870,Operations,8,Master's & above,f,other,1,39,2,5,0,63,57365
11045,Operations,8,Master's & above,m,other,1,40,4,4,0,64,103221
63507,Procurement,8,Master's & above,m,other,1,30,3,5,0,64,95534
31124,Procurement,8,Master's & above,f,sourcing,1,31,5,7,0,65,49134
41451,Operations,8,Master's & above,m,other,1,39,4,3,0,66,122455
35736,Procurement,8,Master's & above,m,sourcing,1,35,3,8,0,66,69065
1794,Procurement,8,Master's & above,f,other,1,39,1,9,0,66,40279
34894,Procurement,8,Master's & above,f,other,1,39,5,3,0,67,67592
11875,Procurement,8,Master's & above,f,sourcing,1,36,3,4,0,67,93737
34467,Procurement,8,Master's & above,f,other,1,31,3,5,0,67,94525
28253,Procurement,8,Master's & above,m,other,1,37,3,7,0,67,85230
37632,Procurement,8,Master's & above,m,other,1,40,2,11,0,67,109532
45219,Procurement,8,Master's & above,m,other,1,37,4,4,0,68,137077
11865,Procurement,8,Master's & above,m,sourcing,1,37,3,10,0,68,64214
8149,Procurement,8,Master's & above,f,other,1,35,3,7,0,69,67544
54764,Procurement,8,Master's & above,f,other,1,34,1,3,0,70,89129
68676,Procurement,8,Master's & above,f,sourcing,1,39,3,3,0,70,62759
76308,Procurement,8,Master's & above,f,other,1,32,4,6,0,70,97857
55600,Procurement,8,Master's & above,f,other,1,39,4,10,0,70,67189
41469,Procurement,8,Master's & above,f,sourcing,1,39,5,13,0,70,61221
75635,Procurement,8,Master's & above,m,other,1,38,4,4,0,71,114257
33322,Procurement,8,Master's & above,f,other,1,39,5,4,0,71,47898
72351,Procurement,8,Master's & above,f,other,1,35,1,9,0,71,91442
69085,Procurement,8,Master's & above,m,other,1,38,4,11,0,71,126071
50785,Procurement,8,Master's & above,m,other,1,32,3,7,1,71,114373
46432,Procurement,8,Master's & above,m,other,1,38,3,10,0,72,68024
2725,Procurement,8,Master's & above,f,other,1,40,4,4,0,73,99801
36618,Operations,8,Master's & above,f,sourcing,1,31,3,3,0,74,95610
9050,Procurement,8,Master's & above,m,other,1,32,1,7,0,74,111535
15669,Technology,8,Master's & above,f,sourcing,1,30,1,5,0,75,158020
38586,R&D,8,Master's & above,m,other,1,30,3,4,0,77,528159
41554,Technology,8,Master's & above,f,other,1,34,5,5,0,78,235295
58943,Technology,8,Master's & above,f,other,1,36,5,5,0,78,282608
46909,Technology,8,Master's & above,m,sourcing,1,36,2,7,0,78,411229
323,Technology,8,Master's & above,m,other,3,35,3,8,0,78,498782
11781,R&D,8,Master's & above,m,sourcing,1,27,3,2,0,82,520891
59262,Technology,8,Master's & above,f,other,1,32,3,3,0,82,287251
32129,Technology,8,Master's & above,m,other,1,39,3,4,0,82,299120
50511,Technology,8,Master's & above,f,sourcing,1,36,3,5,0,82,241999
34530,Technology,8,Master's & above,m,other,1,40,3,3,0,83,398696
61293,Analytics,8,Master's & above,m,other,1,31,5,5,0,84,116617
60380,R&D,8,Master's & above,m,other,1,33,3,7,0,86,343424
69490,Operations,8,Master's & above,f,other,1,31,4,5,0,57,93914
21328,Sales & Marketing,7,Master's & above,f,other,1,37,4,2,0,43,60150
67910,Sales & Marketing,7,Master's & above,m,other,2,32,1,9,0,43,60730
68288,Sales & Marketing,7,Master's & above,m,other,1,58,4,15,0,43,60153
65914,Sales & Marketing,7,Master's & above,m,sourcing,1,45,5,19,0,43,77046
5201,Sales & Marketing,7,Master's & above,f,other,1,35,4,3,0,44,43898
7117,Sales & Marketing,7,Master's & above,f,other,1,38,5,4,0,44,91736
50513,Sales & Marketing,7,Master's & above,f,other,1,32,3,5,0,44,92127
50283,Sales & Marketing,7,Master's & above,m,sourcing,1,38,3,7,0,44,82231
56236,Sales & Marketing,7,Master's & above,m,sourcing,1,40,4,9,0,44,71537
53074,HR,7,Master's & above,f,sourcing,1,33,4,10,0,44,118627
37091,Sales & Marketing,7,Master's & above,f,sourcing,1,42,2,14,0,44,42115
42856,Sales & Marketing,7,Master's & above,m,other,2,45,1,16,0,44,115018
50379,Sales & Marketing,7,Master's & above,m,sourcing,1,45,4,17,0,44,106133
14580,Sales & Marketing,7,Master's & above,m,sourcing,2,44,1,2,0,45,104122
18182,Sales & Marketing,7,Master's & above,m,sourcing,2,32,4,4,0,45,103787
29037,Sales & Marketing,7,Master's & above,m,other,1,39,5,4,0,45,99764
22290,HR,7,Master's & above,f,other,1,42,5,7,0,45,51316
1939,Sales & Marketing,7,Master's & above,m,other,1,35,5,8,0,45,112158
31709,Sales & Marketing,7,Master's & above,m,sourcing,2,36,2,10,0,45,93105
28780,Sales & Marketing,7,Master's & above,m,other,2,51,5,10,0,45,84335
41812,Sales & Marketing,7,Master's & above,m,other,1,51,3,16,0,45,95476
35487,Sales & Marketing,7,Master's & above,m,other,1,50,3,19,0,45,80210
19908,Sales & Marketing,7,Master's & above,m,other,1,53,2,20,0,45,137541
15054,HR,7,Master's & above,m,other,1,34,5,3,0,46,99029
73223,Sales & Marketing,7,Master's & above,m,sourcing,1,44,4,4,0,46,118030
72132,Sales & Marketing,7,Master's & above,f,sourcing,1,31,3,5,0,46,73966
61003,Sales & Marketing,7,Master's & above,m,other,1,41,2,6,0,46,108196
71750,HR,7,Master's & above,m,other,1,42,3,6,0,46,110953
35690,Sales & Marketing,7,Master's & above,m,other,1,38,1,7,0,46,131713
35260,HR,7,Master's & above,m,sourcing,1,39,4,8,0,46,192490
22896,Sales & Marketing,7,Master's & above,m,sourcing,1,33,5,9,0,46,127745
32149,HR,7,Master's & above,f,other,1,39,5,10,0,46,101091
60001,Sales & Marketing,7,Master's & above,m,other,1,44,5,13,0,46,121445
60624,Sales & Marketing,7,Master's & above,f,other,1,41,1,2,0,47,63210
9669,Sales & Marketing,7,Master's & above,m,sourcing,1,36,3,3,0,47,144614
76666,Sales & Marketing,7,Master's & above,f,sourcing,1,35,3,3,0,47,50037
11006,HR,7,Master's & above,m,other,1,39,1,4,0,47,66440
30739,HR,7,Master's & above,f,sourcing,1,48,5,4,0,47,121913
20593,Sales & Marketing,7,Master's & above,f,other,1,32,1,5,0,47,88928
30448,Sales & Marketing,7,Master's & above,m,sourcing,3,39,1,6,0,47,134508
2374,HR,7,Master's & above,f,other,1,33,3,6,0,47,101783
2411,Sales & Marketing,7,Master's & above,f,other,1,39,5,7,0,47,63529
23265,Sales & Marketing,7,Master's & above,m,other,1,34,1,8,0,47,50481
13638,Sales & Marketing,7,Master's & above,m,other,2,39,3,8,0,47,108332
27329,Sales & Marketing,7,Master's & above,m,sourcing,1,34,3,8,0,47,85519
15682,Sales & Marketing,7,Master's & above,m,other,1,36,1,9,0,47,119943
24634,HR,7,Master's & above,m,other,1,39,5,9,0,47,187112
49273,Sales & Marketing,7,Master's & above,f,other,1,36,3,10,0,47,53395
45314,Sales & Marketing,7,Master's & above,m,sourcing,1,40,5,10,0,47,83022
8820,HR,7,Master's & above,m,other,1,40,5,11,0,47,81469
46328,Sales & Marketing,7,Master's & above,f,sourcing,1,43,3,15,0,47,72211
63950,Sales & Marketing,7,Master's & above,m,sourcing,1,46,4,15,0,47,81324
9096,Sales & Marketing,7,Master's & above,m,other,1,44,4,16,0,47,61070
48625,Sales & Marketing,7,Master's & above,m,other,1,40,5,3,0,48,146849
2783,Sales & Marketing,7,Master's & above,m,sourcing,2,35,3,4,0,48,63146
46141,Sales & Marketing,7,Master's & above,m,sourcing,2,48,4,4,0,48,107447
65103,Sales & Marketing,7,Master's & above,m,sourcing,1,42,4,4,0,48,114221
51785,HR,7,Master's & above,m,other,1,40,3,5,0,48,124981
61033,Sales & Marketing,7,Master's & above,m,sourcing,1,34,3,5,0,48,130471
63116,Sales & Marketing,7,Master's & above,m,other,2,49,3,5,0,48,131018
38982,Sales & Marketing,7,Master's & above,m,referred,1,36,5,5,0,48,111161
64587,Sales & Marketing,7,Master's & above,f,other,1,35,5,5,0,48,64425
74767,Sales & Marketing,7,Master's & above,f,other,1,33,5,5,0,48,98371
45668,Sales & Marketing,7,Master's & above,m,other,1,29,2,6,0,48,126267
64523,Sales & Marketing,7,Master's & above,m,other,1,42,2,6,0,48,132781
74051,Sales & Marketing,7,Master's & above,m,other,1,42,4,6,0,48,129876
44945,Sales & Marketing,7,Master's & above,m,other,2,34,5,6,0,48,94227
31120,Sales & Marketing,7,Master's & above,m,other,1,40,3,7,0,48,148257
68536,HR,7,Master's & above,f,other,1,34,4,7,0,48,71217
827,Sales & Marketing,7,Master's & above,f,sourcing,1,34,5,7,0,48,60353
49365,Sales & Marketing,7,Master's & above,m,sourcing,1,33,5,7,0,48,124444
6245,Sales & Marketing,7,Master's & above,f,other,1,42,1,8,0,48,99291
18320,Sales & Marketing,7,Master's & above,m,other,1,33,1,8,0,48,147280
63962,Sales & Marketing,7,Master's & above,m,sourcing,2,33,1,8,0,48,133524
21487,Sales & Marketing,7,Master's & above,m,other,1,35,3,8,0,48,80448
41207,Sales & Marketing,7,Master's & above,m,other,1,38,3,8,0,48,82070
33445,Sales & Marketing,7,Master's & above,f,other,1,37,4,8,0,48,53114
26247,Sales & Marketing,7,Master's & above,m,sourcing,1,54,4,10,0,48,122797
10431,Sales & Marketing,7,Master's & above,f,other,1,37,5,10,0,48,68485
55380,Sales & Marketing,7,Master's & above,m,sourcing,3,38,1,11,0,48,123628
76692,Sales & Marketing,7,Master's & above,m,other,1,38,3,11,0,48,98738
52028,Sales & Marketing,7,Master's & above,m,sourcing,1,40,2,12,0,48,128390
5738,HR,7,Master's & above,m,sourcing,1,44,2,14,0,48,121981
72306,Sales & Marketing,7,Master's & above,m,sourcing,1,53,1,19,0,48,87495
4416,HR,7,Master's & above,m,sourcing,1,48,4,20,0,48,172007
31432,Sales & Marketing,7,Master's & above,m,sourcing,1,43,3,2,1,48,104687
51750,Sales & Marketing,7,Master's & above,m,sourcing,1,49,5,2,1,48,137056
63340,Sales & Marketing,7,Master's & above,m,other,1,33,5,5,1,48,101831
63348,Sales & Marketing,7,Master's & above,m,other,1,36,3,2,0,49,136311
50093,Sales & Marketing,7,Master's & above,m,other,2,31,5,2,0,49,118071
65820,Sales & Marketing,7,Master's & above,m,sourcing,1,30,5,2,0,49,63519
44605,Sales & Marketing,7,Master's & above,m,other,1,46,4,3,0,49,105184
77439,Sales & Marketing,7,Master's & above,f,other,1,38,1,4,0,49,67451
9617,Sales & Marketing,7,Master's & above,m,sourcing,2,36,3,4,0,49,60479
64617,Sales & Marketing,7,Master's & above,m,sourcing,1,49,3,4,0,49,53611
69471,Sales & Marketing,7,Master's & above,f,other,1,39,5,4,0,49,74618
23149,Sales & Marketing,7,Master's & above,m,other,1,41,1,5,0,49,97819
13042,Sales & Marketing,7,Master's & above,m,other,1,29,3,5,0,49,97241
29367,Sales & Marketing,7,Master's & above,m,sourcing,3,38,3,5,0,49,77552
44404,Sales & Marketing,7,Master's & above,m,referred,1,36,5,5,0,49,112191
46085,Sales & Marketing,7,Master's & above,m,other,1,45,5,5,0,49,111555
49285,Sales & Marketing,7,Master's & above,m,other,2,40,1,6,0,49,130889
73467,Sales & Marketing,7,Master's & above,f,other,1,45,3,6,0,49,67155
36756,Sales & Marketing,7,Master's & above,m,other,1,40,5,6,0,49,140353
61813,Sales & Marketing,7,Master's & above,m,other,2,35,5,6,0,49,111733
36215,Sales & Marketing,7,Master's & above,f,other,1,34,1,7,0,49,61315
18950,Sales & Marketing,7,Master's & above,m,sourcing,1,37,4,7,0,49,99229
41367,Sales & Marketing,7,Master's & above,m,sourcing,2,37,5,7,0,49,139370
50864,Sales & Marketing,7,Master's & above,m,sourcing,1,36,5,7,0,49,136400
57859,Sales & Marketing,7,Master's & above,m,sourcing,1,39,5,7,0,49,94154
68358,Sales & Marketing,7,Master's & above,f,other,2,35,1,8,0,49,82057
51640,Sales & Marketing,7,Master's & above,m,sourcing,1,41,3,8,0,49,55098
34771,Sales & Marketing,7,Master's & above,m,other,1,36,5,9,0,49,137493
75833,Sales & Marketing,7,Master's & above,m,other,2,37,1,10,0,49,95882
47923,Sales & Marketing,7,Master's & above,f,other,1,38,3,10,0,49,92309
77262,Sales & Marketing,7,Master's & above,m,sourcing,1,38,3,10,0,49,67841
33403,Sales & Marketing,7,Master's & above,m,other,1,37,4,10,0,49,114019
995,Sales & Marketing,7,Master's & above,m,other,1,35,5,10,0,49,51502
68248,Sales & Marketing,7,Master's & above,m,other,1,38,4,11,0,49,72128
6986,Sales & Marketing,7,Master's & above,m,other,2,40,3,12,0,49,117058
77152,Sales & Marketing,7,Master's & above,m,sourcing,2,45,1,14,0,49,130130
49625,Sales & Marketing,7,Master's & above,f,other,1,41,4,14,0,49,84834
53799,Sales & Marketing,7,Master's & above,m,other,1,45,3,16,0,49,63750
65826,Sales & Marketing,7,Master's & above,m,other,1,51,5,19,0,49,128869
68085,Sales & Marketing,7,Master's & above,m,sourcing,1,44,5,19,0,49,64290
46741,HR,7,Master's & above,f,sourcing,1,38,2,7,1,49,67805
59930,HR,7,Master's & above,m,other,1,37,4,2,0,50,150870
28404,Sales & Marketing,7,Master's & above,m,other,1,41,5,2,0,50,85473
15081,Sales & Marketing,7,Master's & above,m,sourcing,1,37,2,3,0,50,141156
56614,Sales & Marketing,7,Master's & above,f,sourcing,1,41,3,3,0,50,63493
68458,Sales & Marketing,7,Master's & above,f,sourcing,1,34,3,3,0,50,73667
38884,Sales & Marketing,7,Master's & above,f,other,1,31,1,4,0,50,63735
58450,Sales & Marketing,7,Master's & above,f,sourcing,2,39,1,4,0,50,61322
26054,Sales & Marketing,7,Master's & above,m,sourcing,1,38,4,4,0,50,149993
9499,HR,7,Master's & above,m,other,1,44,3,5,0,50,121777
57718,Sales & Marketing,7,Master's & above,f,other,1,40,4,5,0,50,81223
37874,Sales & Marketing,7,Master's & above,m,other,1,44,1,6,0,50,135293
46864,Sales & Marketing,7,Master's & above,m,other,1,33,2,6,0,50,92739
70511,Sales & Marketing,7,Master's & above,m,sourcing,1,33,2,6,0,50,145907
30832,Sales & Marketing,7,Master's & above,m,sourcing,4,36,1,7,0,50,65758
42544,Sales & Marketing,7,Master's & above,f,sourcing,1,34,1,7,0,50,40536
26890,Sales & Marketing,7,Master's & above,f,other,1,33,3,7,0,50,51708
65240,HR,7,Master's & above,m,sourcing,2,43,3,7,0,50,155827
55687,Sales & Marketing,7,Master's & above,m,other,1,38,2,10,0,50,115577
56717,Sales & Marketing,7,Master's & above,f,sourcing,1,35,4,10,0,50,44957
50405,Sales & Marketing,7,Master's & above,m,other,1,52,3,16,0,50,81852
19641,Sales & Marketing,7,Master's & above,m,sourcing,1,52,4,25,0,50,110219
62848,Sales & Marketing,7,Master's & above,m,sourcing,1,56,1,27,0,50,55063
54170,Sales & Marketing,7,Master's & above,m,other,3,38,3,2,0,51,146873
51083,HR,7,Master's & above,f,other,1,35,5,3,0,51,97282
77896,Sales & Marketing,7,Master's & above,m,other,1,37,1,4,0,51,62053
25848,Sales & Marketing,7,Master's & above,f,sourcing,2,35,2,4,0,51,60144
30351,Sales & Marketing,7,Master's & above,m,sourcing,1,37,4,5,0,51,112121
57225,HR,7,Master's & above,f,sourcing,1,33,1,6,0,51,74334
34382,Sales & Marketing,7,Master's & above,m,other,3,44,3,6,0,51,126311
39166,Sales & Marketing,7,Master's & above,m,sourcing,2,32,3,6,0,51,94876
26791,Sales & Marketing,7,Master's & above,m,sourcing,1,45,5,6,0,51,131046
73885,HR,7,Master's & above,f,other,1,39,5,6,0,51,105901
25381,Sales & Marketing,7,Master's & above,m,sourcing,1,35,2,7,0,51,62643
790,Sales & Marketing,7,Master's & above,m,other,1,49,3,7,0,51,91560
28742,Sales & Marketing,7,Master's & above,m,sourcing,1,39,4,7,0,51,127353
37277,Sales & Marketing,7,Master's & above,f,other,2,32,5,7,0,51,82659
38290,Sales & Marketing,7,Master's & above,m,sourcing,1,43,5,7,0,51,123627
16891,Sales & Marketing,7,Master's & above,m,other,2,33,1,8,0,51,82965
1960,Sales & Marketing,7,Master's & above,f,sourcing,1,33,5,8,0,51,80151
24569,Sales & Marketing,7,Master's & above,m,sourcing,1,35,3,9,0,51,70236
38383,HR,7,Master's & above,m,other,1,35,3,9,0,51,116113
22117,HR,7,Master's & above,f,other,1,34,5,9,0,51,89439
75826,Sales & Marketing,7,Master's & above,m,other,3,39,1,10,0,51,67614
18026,HR,7,Master's & above,m,sourcing,2,35,3,10,0,51,181805
66132,Sales & Marketing,7,Master's & above,m,sourcing,1,40,3,11,0,51,125546
67239,Sales & Marketing,7,Master's & above,m,sourcing,1,44,3,11,0,51,101484
25615,Sales & Marketing,7,Master's & above,m,other,1,43,1,12,0,51,104114
29068,Sales & Marketing,7,Master's & above,m,sourcing,2,43,3,12,0,51,142542
23602,Sales & Marketing,7,Master's & above,m,other,1,42,5,12,0,51,73775
23720,Sales & Marketing,7,Master's & above,m,other,1,55,3,13,0,51,75627
35857,Sales & Marketing,7,Master's & above,f,other,2,38,1,14,0,51,63429
51685,Sales & Marketing,7,Master's & above,m,other,1,48,5,18,0,51,129145
47309,Sales & Marketing,7,Master's & above,m,other,1,53,3,19,0,51,77932
67812,Sales & Marketing,7,Master's & above,m,other,1,32,2,1,0,52,98681
42128,Sales & Marketing,7,Master's & above,m,other,1,31,2,2,0,52,50477
1177,Sales & Marketing,7,Master's & above,f,sourcing,1,43,2,3,0,52,55484
23335,Sales & Marketing,7,Master's & above,m,sourcing,1,35,5,3,0,52,94819
42552,Sales & Marketing,7,Master's & above,m,other,6,40,3,4,0,52,78274
2728,Sales & Marketing,7,Master's & above,m,other,1,34,5,4,0,52,119121
12076,Sales & Marketing,7,Master's & above,m,other,4,35,1,5,0,52,66198
16649,HR,7,Master's & above,f,other,1,40,3,5,0,52,142662
10822,Sales & Marketing,7,Master's & above,m,other,2,46,3,6,0,52,122508
69530,HR,7,Master's & above,f,other,1,41,5,6,0,52,101075
69875,HR,7,Master's & above,m,other,1,37,3,7,0,52,117863
44894,HR,7,Master's & above,m,sourcing,1,35,5,7,0,52,77501
57748,Sales & Marketing,7,Master's & above,f,other,1,45,5,7,0,52,41361
45966,Sales & Marketing,7,Master's & above,m,sourcing,1,37,3,8,0,52,94423
33184,Sales & Marketing,7,Master's & above,f,other,1,36,4,8,0,52,67932
25305,Sales & Marketing,7,Master's & above,m,sourcing,1,36,5,8,0,52,57673
73061,Sales & Marketing,7,Master's & above,m,other,1,34,5,9,0,52,50164
12183,Sales & Marketing,7,Master's & above,m,sourcing,1,39,1,10,0,52,90898
67875,Sales & Marketing,7,Master's & above,m,other,1,41,2,10,0,52,134677
34024,HR,7,Master's & above,m,other,1,44,4,16,0,52,178942
70921,HR,7,Master's & above,m,other,1,42,3,7,1,52,133299
10351,Sales & Marketing,7,Master's & above,m,other,1,49,2,3,0,53,77917
63094,Sales & Marketing,7,Master's & above,m,other,1,42,1,4,0,53,138236
47056,Sales & Marketing,7,Master's & above,m,other,1,44,1,5,0,53,59514
62541,HR,7,Master's & above,f,sourcing,1,40,3,6,0,53,117202
38352,Sales & Marketing,7,Master's & above,m,other,1,33,4,6,0,53,94777
33674,Sales & Marketing,7,Master's & above,f,sourcing,1,32,5,7,0,53,49317
