"","m_emp_id","f_emp_id","m_dept","f_dept","m_region","f_region","m_average","f_average","m_ann_sal","f_ann_sal","Suggst_Amt"
"43",73223,15012,"Sales & Marketing","Sales & Marketing",7,7,53.7760749255002,53.9471583652618,118030,87527,30503
"44",73223,37091,"Sales & Marketing","Sales & Marketing",7,7,53.7760749255002,54.0490634312473,118030,42115,75915
"45",61003,4089,"Sales & Marketing","Sales & Marketing",7,7,50.2878884631758,50.5656662409536,108196,87075,21121
"46",71750,68536,"HR","HR",7,7,56.5102171136654,56.6185078756918,110953,71217,39736
"47",35690,4089,"Sales & Marketing","Sales & Marketing",7,7,50.0854086845466,50.5656662409536,131713,87075,44638
"48",35690,21328,"Sales & Marketing","Sales & Marketing",7,7,50.0854086845466,50.2168475947212,131713,60150,71563
"49",35690,25848,"Sales & Marketing","Sales & Marketing",7,7,50.0854086845466,50.2559599829715,131713,60144,71569
"50",35690,27010,"Sales & Marketing","Sales & Marketing",7,7,50.0854086845466,50.2035440613027,131713,88886,42827
"51",35260,46741,"HR","HR",7,7,62.0668369518944,62.6074925500213,192490,67805,124685
"52",22896,49273,"Sales & Marketing","Sales & Marketing",7,7,56.5690187313751,56.6666666666667,127745,53395,74350
"53",22896,73467,"Sales & Marketing","Sales & Marketing",7,7,56.5690187313751,56.955619412516,127745,67155,60590
"54",60001,10431,"Sales & Marketing","Sales & Marketing",7,7,63.1188803746275,63.2763942103023,121445,68485,52960
"55",9669,1177,"Sales & Marketing","Sales & Marketing",7,7,49.1075989782886,49.1570881226054,144614,55484,89130
"56",9669,76666,"Sales & Marketing","Sales & Marketing",7,7,49.1075989782886,49.1075989782886,144614,50037,94577
"57",23265,64759,"Sales & Marketing","Sales & Marketing",7,7,46.0586951894423,46.157141336739,50481,44045,6436
"58",13638,827,"Sales & Marketing","Sales & Marketing",7,7,55.5108556832695,55.8304065559813,108332,60353,47979
"59",13638,28214,"Sales & Marketing","Sales & Marketing",7,7,55.5108556832695,56.0650808854832,108332,72910,35422
"60",13638,35857,"Sales & Marketing","Sales & Marketing",7,7,55.5108556832695,55.6909855257556,108332,63429,44903
"61",27329,21328,"Sales & Marketing","Sales & Marketing",7,7,50.1803959131545,50.2168475947212,85519,60150,25369
"62",27329,25848,"Sales & Marketing","Sales & Marketing",7,7,50.1803959131545,50.2559599829715,85519,60144,25375
"63",15682,14815,"Sales & Marketing","Sales & Marketing",7,7,52.0098978288634,52.4619518944232,119943,88656,31287
"64",15682,47666,"Sales & Marketing","Sales & Marketing",7,7,52.0098978288634,52.5268731375053,119943,82969,36974
"65",15682,63631,"Sales & Marketing","Sales & Marketing",7,7,52.0098978288634,52.2911345253299,119943,97501,22442
"66",15682,68358,"Sales & Marketing","Sales & Marketing",7,7,52.0098978288634,52.4797786292039,119943,82057,37886
"67",24634,32149,"HR","HR",7,7,65.7125372498936,65.9035759897829,187112,101091,86021
"68",24634,69530,"HR","HR",7,7,65.7125372498936,65.7689442315879,187112,101075,86037
"69",45314,10431,"Sales & Marketing","Sales & Marketing",7,7,62.7785759897829,63.2763942103023,83022,68485,14537
"70",48625,827,"Sales & Marketing","Sales & Marketing",7,7,55.7173265219242,55.8304065559813,146849,60353,86496
"71",48625,7117,"Sales & Marketing","Sales & Marketing",7,7,55.7173265219242,56.1108450404427,146849,91736,55113
"72",48625,14604,"Sales & Marketing","Sales & Marketing",7,7,55.7173265219242,56.1810876968923,146849,66363,80486
"73",48625,28214,"Sales & Marketing","Sales & Marketing",7,7,55.7173265219242,56.0650808854832,146849,72910,73939
"74",46141,37277,"Sales & Marketing","Sales & Marketing",7,7,57.0977011494253,57.6527245636441,107447,82659,24788
"75",46141,46328,"Sales & Marketing","Sales & Marketing",7,7,57.0977011494253,57.6258514261388,107447,72211,35236
"76",46141,57718,"Sales & Marketing","Sales & Marketing",7,7,57.0977011494253,57.3057684120903,107447,81223,26224
"77",51785,68536,"HR","HR",7,7,56.1201575138357,56.6185078756918,124981,71217,53764
"78",61033,40914,"Sales & Marketing","Sales & Marketing",7,7,47.3206683695189,47.705938697318,130471,73199,57272
"79",61033,77439,"Sales & Marketing","Sales & Marketing",7,7,47.3206683695189,47.6580459770115,130471,67451,63020
"80",38982,38585,"Sales & Marketing","Sales & Marketing",7,7,58.7630374627501,59.1259578544061,111161,99986,11175
"81",38982,64587,"Sales & Marketing","Sales & Marketing",7,7,58.7630374627501,58.7630374627501,111161,64425,46736
"82",45668,17002,"Sales & Marketing","Sales & Marketing",7,7,45.799276287782,46.1648573861218,126267,95258,31009
"83",45668,28977,"Sales & Marketing","Sales & Marketing",7,7,45.799276287782,45.8248190719455,126267,89738,36529
"84",45668,32441,"Sales & Marketing","Sales & Marketing",7,7,45.799276287782,45.8248190719455,126267,88977,37290
"85",45668,36215,"Sales & Marketing","Sales & Marketing",7,7,45.799276287782,46.1896019582801,126267,61315,64952
"86",45668,50513,"Sales & Marketing","Sales & Marketing",7,7,45.799276287782,46.132662835249,126267,92127,34140
"87",45668,64759,"Sales & Marketing","Sales & Marketing",7,7,45.799276287782,46.157141336739,126267,44045,82222
"88",74051,37277,"Sales & Marketing","Sales & Marketing",7,7,57.3140166028097,57.6527245636441,129876,82659,47217
"89",74051,46328,"Sales & Marketing","Sales & Marketing",7,7,57.3140166028097,57.6258514261388,129876,72211,57665
"90",74051,47923,"Sales & Marketing","Sales & Marketing",7,7,57.3140166028097,57.7572903363133,129876,92309,37567
"91",74051,69471,"Sales & Marketing","Sales & Marketing",7,7,57.3140166028097,57.8916560238399,129876,74618,55258
"92",49365,827,"Sales & Marketing","Sales & Marketing",7,7,55.8304065559813,55.8304065559813,124444,60353,64091
"93",49365,7117,"Sales & Marketing","Sales & Marketing",7,7,55.8304065559813,56.1108450404427,124444,91736,32708
"94",49365,14604,"Sales & Marketing","Sales & Marketing",7,7,55.8304065559813,56.1810876968923,124444,66363,58081
"95",49365,28214,"Sales & Marketing","Sales & Marketing",7,7,55.8304065559813,56.0650808854832,124444,72910,51534
"96",18320,1877,"Sales & Marketing","Sales & Marketing",7,7,46.5565134099617,46.7573967645807,147280,65018,82262
"97",18320,22827,"Sales & Marketing","Sales & Marketing",7,7,46.5565134099617,46.8587696892295,147280,42546,104734
"98",18320,42544,"Sales & Marketing","Sales & Marketing",7,7,46.5565134099617,46.8204555129843,147280,40536,106744
"99",63962,1877,"Sales & Marketing","Sales & Marketing",7,7,46.5565134099617,46.7573967645807,133524,65018,68506
"100",63962,22827,"Sales & Marketing","Sales & Marketing",7,7,46.5565134099617,46.8587696892295,133524,42546,90978
"101",63962,42544,"Sales & Marketing","Sales & Marketing",7,7,46.5565134099617,46.8204555129843,133524,40536,92988
"102",21487,14604,"Sales & Marketing","Sales & Marketing",7,7,56.0086739037888,56.1810876968923,80448,66363,14085
"103",21487,28214,"Sales & Marketing","Sales & Marketing",7,7,56.0086739037888,56.0650808854832,80448,72910,7538
"104",41207,14604,"Sales & Marketing","Sales & Marketing",7,7,56.0086739037888,56.1810876968923,82070,66363,15707
"105",41207,28214,"Sales & Marketing","Sales & Marketing",7,7,56.0086739037888,56.0650808854832,82070,72910,9160
"106",26247,10431,"Sales & Marketing","Sales & Marketing",7,7,63.0752447850149,63.2763942103023,122797,68485,54312
"107",55380,67650,"Sales & Marketing","Sales & Marketing",7,7,53.3868135376756,53.6433056619838,123628,96918,26710
"108",55380,74767,"Sales & Marketing","Sales & Marketing",7,7,53.3868135376756,53.4325776926352,123628,98371,25257
"109",76692,37277,"Sales & Marketing","Sales & Marketing",7,7,57.5085142613878,57.6527245636441,98738,82659,16079
"110",76692,46328,"Sales & Marketing","Sales & Marketing",7,7,57.5085142613878,57.6258514261388,98738,72211,26527
"111",76692,47923,"Sales & Marketing","Sales & Marketing",7,7,57.5085142613878,57.7572903363133,98738,92309,6429
"112",76692,69471,"Sales & Marketing","Sales & Marketing",7,7,57.5085142613878,57.8916560238399,98738,74618,24120
"113",72306,57718,"Sales & Marketing","Sales & Marketing",7,7,56.8930928054491,57.3057684120903,87495,81223,6272
"114",72306,73467,"Sales & Marketing","Sales & Marketing",7,7,56.8930928054491,56.955619412516,87495,67155,20340
"115",51750,10431,"Sales & Marketing","Sales & Marketing",7,7,62.8764899957429,63.2763942103023,137056,68485,68571
"116",63348,67622,"Sales & Marketing","Sales & Marketing",7,7,48.62760749255,48.7973605789698,136311,60769,75542
"117",63348,76666,"Sales & Marketing","Sales & Marketing",7,7,48.62760749255,49.1075989782886,136311,50037,86274
"118",44605,7117,"Sales & Marketing","Sales & Marketing",7,7,56.1089825457641,56.1108450404427,105184,91736,13448
"119",44605,14604,"Sales & Marketing","Sales & Marketing",7,7,56.1089825457641,56.1810876968923,105184,66363,38821
"120",44605,23803,"Sales & Marketing","Sales & Marketing",7,7,56.1089825457641,56.5397509578544,105184,98283,6901
"121",44605,49273,"Sales & Marketing","Sales & Marketing",7,7,56.1089825457641,56.6666666666667,105184,53395,51789
"122",9617,5201,"Sales & Marketing","Sales & Marketing",7,7,51.7797467007237,51.848392933163,60479,43898,16581
"123",23149,1177,"Sales & Marketing","Sales & Marketing",7,7,49.122232865049,49.1570881226054,97819,55484,42335
"124",13042,56659,"Sales & Marketing","Sales & Marketing",7,7,47.9134738186462,48.1380374627501,97241,46314,50927
"125",13042,58450,"Sales & Marketing","Sales & Marketing",7,7,47.9134738186462,48.2888995317156,97241,61322,35919
"126",13042,59763,"Sales & Marketing","Sales & Marketing",7,7,47.9134738186462,47.9885057471264,97241,76743,20498
"127",44404,33445,"Sales & Marketing","Sales & Marketing",7,7,59.3558429118774,59.4396551724138,112191,53114,59077
"128",46085,49625,"Sales & Marketing","Sales & Marketing",7,7,61.8356215410813,62.0141549595573,111555,84834,26721
"129",49285,4089,"Sales & Marketing","Sales & Marketing",7,7,50.3541400595998,50.5656662409536,130889,87075,43814
"130",49285,56614,"Sales & Marketing","Sales & Marketing",7,7,50.3541400595998,50.8290762026394,130889,63493,67396
"131",36756,2411,"Sales & Marketing","Sales & Marketing",7,7,60.5877501064283,60.6630481055768,140353,63529,76824
"132",36756,53503,"Sales & Marketing","Sales & Marketing",7,7,60.5877501064283,60.6468177948063,140353,53750,86603
"133",61813,2411,"Sales & Marketing","Sales & Marketing",7,7,60.5877501064283,60.6630481055768,111733,63529,48204
"134",61813,53503,"Sales & Marketing","Sales & Marketing",7,7,60.5877501064283,60.6468177948063,111733,53750,57983
"135",18950,33445,"Sales & Marketing","Sales & Marketing",7,7,59.0727437207322,59.4396551724138,99229,53114,46115
"136",41367,49625,"Sales & Marketing","Sales & Marketing",7,7,61.7536717752235,62.0141549595573,139370,84834,54536
"137",41367,56717,"Sales & Marketing","Sales & Marketing",7,7,61.7536717752235,61.8191251596424,139370,44957,94413
"138",50864,49625,"Sales & Marketing","Sales & Marketing",7,7,61.7536717752235,62.0141549595573,136400,84834,51566
"139",50864,56717,"Sales & Marketing","Sales & Marketing",7,7,61.7536717752235,61.8191251596424,136400,44957,91443
"140",57859,49625,"Sales & Marketing","Sales & Marketing",7,7,61.7536717752235,62.0141549595573,94154,84834,9320
"141",57859,56717,"Sales & Marketing","Sales & Marketing",7,7,61.7536717752235,61.8191251596424,94154,44957,49197
"142",51640,49273,"Sales & Marketing","Sales & Marketing",7,7,56.6014793529161,56.6666666666667,55098,53395,1703
"143",75833,15012,"Sales & Marketing","Sales & Marketing",7,7,53.6355896126011,53.9471583652618,95882,87527,8355
"144",75833,37091,"Sales & Marketing","Sales & Marketing",7,7,53.6355896126011,54.0490634312473,95882,42115,53767
"145",77262,10662,"Sales & Marketing","Sales & Marketing",7,7,57.7572903363133,58.2750638569604,67841,45048,22793
"146",33403,33184,"Sales & Marketing","Sales & Marketing",7,7,61.1882716049383,61.7446253724989,114019,67932,46087
"147",68248,33184,"Sales & Marketing","Sales & Marketing",7,7,61.5323009791401,61.7446253724989,72128,67932,4196
"148",68248,56717,"Sales & Marketing","Sales & Marketing",7,7,61.5323009791401,61.8191251596424,72128,44957,27171
"149",6986,1960,"Sales & Marketing","Sales & Marketing",7,7,58.2822477650064,58.612441464453,117058,80151,36907
"150",6986,33674,"Sales & Marketing","Sales & Marketing",7,7,58.2822477650064,58.4924435930183,117058,49317,67741
"151",6986,64587,"Sales & Marketing","Sales & Marketing",7,7,58.2822477650064,58.7630374627501,117058,64425,52633
"152",77152,57718,"Sales & Marketing","Sales & Marketing",7,7,56.941251596424,57.3057684120903,130130,81223,48907
"153",77152,73467,"Sales & Marketing","Sales & Marketing",7,7,56.941251596424,56.955619412516,130130,67155,62975
"154",53799,56717,"Sales & Marketing","Sales & Marketing",7,7,61.3165176670924,61.8191251596424,63750,44957,18793
"155",59930,68536,"HR","HR",7,7,56.1584716900809,56.6185078756918,150870,71217,79653
"156",28404,827,"Sales & Marketing","Sales & Marketing",7,7,55.3703703703704,55.8304065559813,85473,60353,25120
"157",28404,35857,"Sales & Marketing","Sales & Marketing",7,7,55.3703703703704,55.6909855257556,85473,63429,22044
"158",15081,56659,"Sales & Marketing","Sales & Marketing",7,7,48.0757769263516,48.1380374627501,141156,46314,94842
"159",15081,58450,"Sales & Marketing","Sales & Marketing",7,7,48.0757769263516,48.2888995317156,141156,61322,79834
"160",26054,7117,"Sales & Marketing","Sales & Marketing",7,7,55.8415815240528,56.1108450404427,149993,91736,58257
"161",26054,14604,"Sales & Marketing","Sales & Marketing",7,7,55.8415815240528,56.1810876968923,149993,66363,83630
"162",26054,28214,"Sales & Marketing","Sales & Marketing",7,7,55.8415815240528,56.0650808854832,149993,72910,77083
"163",9499,53074,"HR","HR",7,7,57.3438165176671,57.5460302256279,121777,118627,3150
"164",46864,22548,"Sales & Marketing","Sales & Marketing",7,7,47.0229352916135,47.2461685823755,92739,67441,25298
"165",70511,22548,"Sales & Marketing","Sales & Marketing",7,7,47.0229352916135,47.2461685823755,145907,67441,78466
"166",70511,44400,"Sales & Marketing","Sales & Marketing",7,7,47.0229352916135,47.0817369093231,145907,97402,48505
"167",65240,15720,"HR","HR",7,7,59.7416453810132,59.8230630055343,155827,113985,41842
"168",65240,62541,"HR","HR",7,7,59.7416453810132,60.0141017454236,155827,117202,38625
"169",55687,827,"Sales & Marketing","Sales & Marketing",7,7,55.6348446147297,55.8304065559813,115577,60353,55224
"170",55687,7117,"Sales & Marketing","Sales & Marketing",7,7,55.6348446147297,56.1108450404427,115577,91736,23841
"171",55687,14604,"Sales & Marketing","Sales & Marketing",7,7,55.6348446147297,56.1810876968923,115577,66363,49214
"172",55687,28214,"Sales & Marketing","Sales & Marketing",7,7,55.6348446147297,56.0650808854832,115577,72910,42667
"173",55687,35857,"Sales & Marketing","Sales & Marketing",7,7,55.6348446147297,55.6909855257556,115577,63429,52148
"174",19641,57748,"Sales & Marketing","Sales & Marketing",7,7,65.8024691358025,65.9456151553853,110219,41361,68858
"175",62848,33445,"Sales & Marketing","Sales & Marketing",7,7,58.9910600255428,59.4396551724138,55063,53114,1949
"176",54170,21328,"Sales & Marketing","Sales & Marketing",7,7,49.8571200510856,50.2168475947212,146873,60150,86723
"177",54170,25848,"Sales & Marketing","Sales & Marketing",7,7,49.8571200510856,50.2559599829715,146873,60144,86729
"178",54170,27010,"Sales & Marketing","Sales & Marketing",7,7,49.8571200510856,50.2035440613027,146873,88886,57987
"179",54170,61124,"Sales & Marketing","Sales & Marketing",7,7,49.8571200510856,50.0830140485313,146873,88481,58392
"180",77896,1177,"Sales & Marketing","Sales & Marketing",7,7,48.887558535547,49.1570881226054,62053,55484,6569
"181",77896,76666,"Sales & Marketing","Sales & Marketing",7,7,48.887558535547,49.1075989782886,62053,50037,12016
"182",30351,10662,"Sales & Marketing","Sales & Marketing",7,7,57.9044274159217,58.2750638569604,112121,45048,67073
"183",34382,827,"Sales & Marketing","Sales & Marketing",7,7,55.7053533418476,55.8304065559813,126311,60353,65958
"184",34382,7117,"Sales & Marketing","Sales & Marketing",7,7,55.7053533418476,56.1108450404427,126311,91736,34575
"185",34382,14604,"Sales & Marketing","Sales & Marketing",7,7,55.7053533418476,56.1810876968923,126311,66363,59948
"186",34382,28214,"Sales & Marketing","Sales & Marketing",7,7,55.7053533418476,56.0650808854832,126311,72910,53401
"187",39166,4089,"Sales & Marketing","Sales & Marketing",7,7,50.3748935717327,50.5656662409536,94876,87075,7801
"188",39166,56614,"Sales & Marketing","Sales & Marketing",7,7,50.3748935717327,50.8290762026394,94876,63493,31383
"189",26791,45470,"Sales & Marketing","Sales & Marketing",7,7,64.2970412941677,64.5080353341848,131046,61937,69109
"190",790,33445,"Sales & Marketing","Sales & Marketing",7,7,59.3510536398467,59.4396551724138,91560,53114,38446
"191",28742,2411,"Sales & Marketing","Sales & Marketing",7,7,60.3022562792678,60.6630481055768,127353,63529,63824
"192",28742,53503,"Sales & Marketing","Sales & Marketing",7,7,60.3022562792678,60.6468177948063,127353,53750,73603
"193",38290,10431,"Sales & Marketing","Sales & Marketing",7,7,62.983184333759,63.2763942103023,123627,68485,55142
"194",16891,67622,"Sales & Marketing","Sales & Marketing",7,7,48.3788314176245,48.7973605789698,82965,60769,22196
"195",24569,33674,"Sales & Marketing","Sales & Marketing",7,7,58.4517347807578,58.4924435930183,70236,49317,20919
"196",24569,64587,"Sales & Marketing","Sales & Marketing",7,7,58.4517347807578,58.7630374627501,70236,64425,5811
"197",18026,22117,"HR","HR",7,7,62.4558322690507,62.7022137079608,181805,89439,92366
"198",18026,30739,"HR","HR",7,7,62.4558322690507,62.749840357599,181805,121913,59892
"199",18026,46741,"HR","HR",7,7,62.4558322690507,62.6074925500213,181805,67805,114000
"200",66132,33445,"Sales & Marketing","Sales & Marketing",7,7,59.3308322690507,59.4396551724138,125546,53114,72432
"201",67239,33445,"Sales & Marketing","Sales & Marketing",7,7,59.3308322690507,59.4396551724138,101484,53114,48370
"202",25615,827,"Sales & Marketing","Sales & Marketing",7,7,55.3900595998297,55.8304065559813,104114,60353,43761
"203",25615,35857,"Sales & Marketing","Sales & Marketing",7,7,55.3900595998297,55.6909855257556,104114,63429,40685
"204",23602,57748,"Sales & Marketing","Sales & Marketing",7,7,65.6236696466581,65.9456151553853,73775,41361,32414
"205",23720,10431,"Sales & Marketing","Sales & Marketing",7,7,62.8740953597275,63.2763942103023,75627,68485,7142
"206",47309,10431,"Sales & Marketing","Sales & Marketing",7,7,62.8371115368242,63.2763942103023,77932,68485,9447
"207",67812,45885,"Sales & Marketing","Sales & Marketing",7,7,40.9623776074925,41.2686249467859,98681,46823,51858
"208",23335,10662,"Sales & Marketing","Sales & Marketing",7,7,58.0222967220094,58.2750638569604,94819,45048,49771
"209",23335,33674,"Sales & Marketing","Sales & Marketing",7,7,58.0222967220094,58.4924435930183,94819,49317,45502
"210",12076,26890,"Sales & Marketing","Sales & Marketing",7,7,50.8343976160068,50.9421562366965,66198,51708,14490
"211",10822,38585,"Sales & Marketing","Sales & Marketing",7,7,58.6677841634738,59.1259578544061,122508,99986,22522
"212",10822,64587,"Sales & Marketing","Sales & Marketing",7,7,58.6677841634738,58.7630374627501,122508,64425,58083
"213",69875,51083,"HR","HR",7,7,60.8229565772669,61.0086739037888,117863,97282,20581
"214",45966,1960,"Sales & Marketing","Sales & Marketing",7,7,58.313644103874,58.612441464453,94423,80151,14272
"215",45966,33674,"Sales & Marketing","Sales & Marketing",7,7,58.313644103874,58.4924435930183,94423,49317,45106
"216",45966,64587,"Sales & Marketing","Sales & Marketing",7,7,58.313644103874,58.7630374627501,94423,64425,29998
"217",12183,827,"Sales & Marketing","Sales & Marketing",7,7,55.347754363559,55.8304065559813,90898,60353,30545
"218",12183,35857,"Sales & Marketing","Sales & Marketing",7,7,55.347754363559,55.6909855257556,90898,63429,27469
"219",67875,73467,"Sales & Marketing","Sales & Marketing",7,7,56.7161558109834,56.955619412516,134677,67155,67522
"220",63094,21328,"Sales & Marketing","Sales & Marketing",7,7,49.7272775649212,50.2168475947212,138236,60150,78086
"221",63094,27010,"Sales & Marketing","Sales & Marketing",7,7,49.7272775649212,50.2035440613027,138236,88886,49350
"222",63094,61124,"Sales & Marketing","Sales & Marketing",7,7,49.7272775649212,50.0830140485313,138236,88481,49755
"223",17315,2411,"Sales & Marketing","Sales & Marketing",7,7,60.3514793529161,60.6630481055768,117826,63529,54297
"224",17315,53503,"Sales & Marketing","Sales & Marketing",7,7,60.3514793529161,60.6468177948063,117826,53750,64076
"225",25411,38585,"Sales & Marketing","Sales & Marketing",7,7,58.6387824606215,59.1259578544061,127338,99986,27352
"226",25411,64587,"Sales & Marketing","Sales & Marketing",7,7,58.6387824606215,58.7630374627501,127338,64425,62913
"227",24582,10662,"Sales & Marketing","Sales & Marketing",7,7,57.9704129416773,58.2750638569604,58308,45048,13260
"228",24582,33674,"Sales & Marketing","Sales & Marketing",7,7,57.9704129416773,58.4924435930183,58308,49317,8991
"229",41452,13823,"Sales & Marketing","Sales & Marketing",7,7,59.9231055768412,60.2985312899106,118384,92586,25798
"230",46220,35857,"Sales & Marketing","Sales & Marketing",7,7,55.2234993614304,55.6909855257556,92533,63429,29104
"231",29147,6492,"Operations","Operations",7,7,58.404374201788,58.7297786292039,125415,64887,60528
"232",29147,53117,"Operations","Operations",7,7,58.404374201788,58.8864942528736,125415,94020,31395
"233",29147,65192,"Operations","Operations",7,7,58.404374201788,58.9522137079608,125415,51816,73599
"234",29147,72267,"Operations","Operations",7,7,58.404374201788,58.4357705406556,125415,57322,68093
"235",29147,78043,"Operations","Operations",7,7,58.404374201788,58.7752767134951,125415,44548,80867
"236",29477,7081,"Finance","Finance",7,7,59.0203277990634,59.3467965091528,168729,135756,32973
"237",19853,19928,"Finance","Finance",7,7,63.4772775649212,63.8157194550873,371761,82038,289723
"238",19853,25688,"Finance","Finance",7,7,63.4772775649212,63.8771817794806,371761,225762,145999
"239",60902,19969,"Operations","Operations",7,7,56.215410813112,56.5022349936143,86603,80999,5604
"240",60902,21007,"Operations","Operations",7,7,56.215410813112,56.2771392081737,86603,63062,23541
"241",60902,77939,"Operations","Operations",7,7,56.215410813112,56.5839186888037,86603,62218,24385
"242",15090,24420,"Operations","Operations",7,7,54.7977862920392,54.9348126862495,111937,81879,30058
"243",15090,26823,"Operations","Operations",7,7,54.7977862920392,54.9156555981269,111937,48207,63730
"244",15090,64986,"Operations","Operations",7,7,54.7977862920392,55.1239889314602,111937,62628,49309
"245",53642,40,"Operations","Operations",7,7,44.6815134099617,44.8861217539378,79198,78221,977
"246",53642,62144,"Operations","Operations",7,7,44.6815134099617,44.8047041294168,79198,67718,11480
"247",55733,14145,"Operations","Operations",7,7,53.4429544487016,53.9801511281396,88444,69703,18741
"248",61153,736,"Operations","Operations",7,7,51.3338122605364,51.3779799914857,139525,40661,98864
"249",61153,24273,"Operations","Operations",7,7,51.3338122605364,51.7443593018306,139525,82094,57431
"250",61153,61451,"Operations","Operations",7,7,51.3338122605364,51.7443593018306,139525,72688,66837
"251",61153,69144,"Operations","Operations",7,7,51.3338122605364,51.5549169859515,139525,65630,73895
"252",3501,15280,"Operations","Operations",7,7,55.4555129842486,56.0150595998297,144429,59820,84609
"253",3501,58757,"Operations","Operations",7,7,55.4555129842486,55.6577266922094,144429,96086,48343
"254",3501,77163,"Operations","Operations",7,7,55.4555129842486,55.9921775223499,144429,96686,47743
